iter	Passed	Remaining
0	11	11847
1	23	11822
2	34	11383
3	45	11211
4	54	10748
5	62	10414
6	72	10272
7	80	9997
8	89	9905
9	98	9749
10	107	9664
11	116	9581
12	124	9487
13	134	9461
14	142	9372
15	152	9369
16	161	9322
17	171	9344
18	180	9307
19	189	9268
20	198	9244
21	206	9199
22	216	9195
23	225	9150
24	234	9149
25	242	9096
26	252	9095
27	261	9061
28	269	9023
29	278	9003
30	286	8968
31	295	8940
32	303	8900
33	313	8893
34	322	8880
35	331	8866
36	339	8848
37	348	8828
38	358	8821
39	366	8787
40	375	8793
41	384	8775
42	394	8776
43	402	8754
44	411	8737
45	422	8756
46	437	8866
47	451	8959
48	463	9003
49	476	9053
50	485	9042
51	494	9019
52	503	8997
53	512	8981
54	521	8967
55	530	8946
56	540	8935
57	549	8924
58	558	8908
59	567	8896
60	576	8873
61	585	8851
62	593	8824
63	602	8807
64	610	8781
65	619	8760
66	627	8743
67	636	8721
68	644	8702
69	653	8680
70	662	8669
71	671	8652
72	680	8647
73	690	8635
74	698	8618
75	707	8607
76	716	8586
77	725	8571
78	733	8548
79	742	8542
80	751	8523
81	760	8518
82	769	8503
83	778	8485
84	787	8477
85	796	8465
86	806	8460
87	815	8455
88	825	8448
89	835	8451
90	845	8445
91	855	8441
92	865	8436
93	874	8431
94	883	8421
95	893	8410
96	902	8401
97	911	8391
98	921	8388
99	931	8380
100	940	8375
101	951	8380
102	961	8371
103	970	8362
104	981	8363
105	990	8349
106	1000	8348
107	1009	8337
108	1017	8321
109	1027	8314
110	1035	8296
111	1045	8289
112	1053	8272
113	1062	8260
114	1071	8243
115	1079	8227
116	1088	8211
117	1096	8195
118	1105	8187
119	1114	8176
120	1124	8169
121	1133	8156
122	1142	8144
123	1150	8128
124	1159	8117
125	1168	8105
126	1177	8096
127	1187	8089
128	1197	8086
129	1208	8085
130	1217	8077
131	1227	8074
132	1238	8073
133	1248	8066
134	1258	8062
135	1268	8057
136	1276	8040
137	1285	8032
138	1294	8017
139	1303	8006
140	1314	8006
141	1324	8003
142	1336	8012
143	1347	8010
144	1357	8002
145	1367	7996
146	1377	7993
147	1386	7983
148	1396	7977
149	1406	7967
150	1415	7957
151	1425	7953
152	1434	7943
153	1445	7938
154	1455	7932
155	1464	7923
156	1474	7917
157	1483	7905
158	1494	7902
159	1503	7895
160	1513	7885
161	1523	7879
162	1532	7870
163	1542	7861
164	1551	7849
165	1559	7834
166	1568	7825
167	1577	7812
168	1586	7803
169	1595	7787
170	1604	7777
171	1612	7762
172	1622	7754
173	1633	7752
174	1642	7743
175	1653	7741
176	1664	7740
177	1675	7738
178	1686	7736
179	1698	7738
180	1708	7728
181	1717	7718
182	1727	7713
183	1735	7698
184	1746	7693
185	1754	7678
186	1763	7666
187	1772	7656
188	1781	7642
189	1791	7635
190	1799	7621
191	1808	7612
192	1817	7599
193	1827	7592
194	1836	7582
195	1845	7571
196	1855	7563
197	1863	7548
198	1873	7542
199	1881	7527
200	1892	7522
201	1902	7516
202	1912	7506
203	1922	7503
204	1934	7501
205	1949	7515
206	1968	7540
207	1981	7545
208	1991	7538
209	2004	7540
210	2016	7538
211	2031	7552
212	2050	7576
213	2063	7580
214	2077	7584
215	2088	7579
216	2099	7577
217	2111	7574
218	2122	7569
219	2133	7563
220	2144	7558
221	2155	7554
222	2166	7549
223	2178	7548
224	2190	7546
225	2204	7551
226	2218	7554
227	2229	7548
228	2241	7546
229	2252	7540
230	2261	7530
231	2272	7523
232	2285	7524
233	2296	7518
234	2307	7511
235	2319	7510
236	2331	7506
237	2341	7498
238	2353	7494
239	2366	7492
240	2376	7485
241	2388	7480
242	2400	7479
243	2412	7475
244	2429	7486
245	2442	7486
246	2454	7481
247	2468	7483
248	2480	7482
249	2495	7485
250	2508	7486
251	2521	7483
252	2532	7477
253	2544	7473
254	2558	7475
255	2570	7469
256	2580	7460
257	2591	7454
258	2602	7446
259	2612	7436
260	2623	7429
261	2634	7419
262	2644	7409
263	2655	7402
264	2667	7397
265	2678	7390
266	2690	7386
267	2703	7383
268	2715	7379
269	2725	7367
270	2735	7357
271	2744	7346
272	2754	7334
273	2764	7325
274	2773	7312
275	2783	7301
276	2793	7291
277	2802	7277
278	2812	7267
279	2821	7255
280	2831	7243
281	2841	7233
282	2850	7222
283	2860	7210
284	2868	7196
285	2878	7186
286	2889	7177
287	2898	7166
288	2910	7161
289	2922	7154
290	2933	7147
291	2947	7147
292	2960	7142
293	2970	7133
294	2981	7124
295	2992	7118
296	3004	7111
297	3013	7099
298	3024	7090
299	3034	7081
300	3044	7071
301	3055	7063
302	3067	7055
303	3077	7045
304	3088	7037
305	3098	7026
306	3108	7017
307	3120	7011
308	3131	7002
309	3141	6992
310	3153	6986
311	3163	6976
312	3174	6967
313	3184	6957
314	3194	6947
315	3204	6937
316	3216	6929
317	3227	6921
318	3237	6910
319	3247	6901
320	3257	6891
321	3268	6882
322	3280	6875
323	3291	6867
324	3300	6855
325	3316	6857
326	3332	6859
327	3348	6860
328	3359	6851
329	3371	6845
330	3381	6835
331	3393	6827
332	3403	6818
333	3414	6807
334	3424	6798
335	3435	6789
336	3444	6777
337	3456	6769
338	3466	6758
339	3476	6749
340	3488	6740
341	3498	6731
342	3508	6720
343	3519	6711
344	3529	6701
345	3539	6691
346	3550	6681
347	3560	6671
348	3570	6660
349	3581	6650
350	3592	6642
351	3603	6632
352	3613	6623
353	3625	6615
354	3634	6604
355	3645	6595
356	3655	6584
357	3666	6575
358	3677	6565
359	3687	6555
360	3698	6546
361	3709	6538
362	3720	6529
363	3731	6519
364	3741	6509
365	3751	6498
366	3761	6488
367	3772	6478
368	3782	6467
369	3793	6459
370	3804	6449
371	3813	6437
372	3824	6428
373	3835	6420
374	3845	6409
375	3856	6400
376	3866	6388
377	3876	6378
378	3887	6370
379	3897	6359
380	3908	6349
381	3918	6339
382	3928	6328
383	3939	6319
384	3950	6311
385	3961	6300
386	3971	6291
387	3982	6281
388	3993	6272
389	4003	6261
390	4014	6252
391	4026	6245
392	4037	6236
393	4048	6227
394	4059	6217
395	4069	6207
396	4081	6199
397	4092	6190
398	4103	6181
399	4114	6172
400	4125	6162
401	4136	6152
402	4147	6143
403	4158	6135
404	4169	6125
405	4180	6116
406	4192	6107
407	4203	6098
408	4213	6088
409	4223	6078
410	4233	6067
411	4244	6057
412	4255	6048
413	4266	6039
414	4277	6029
415	4288	6020
416	4298	6010
417	4308	5999
418	4319	5990
419	4330	5980
420	4341	5970
421	4352	5960
422	4363	5951
423	4373	5941
424	4384	5931
425	4394	5920
426	4404	5910
427	4415	5900
428	4425	5890
429	4434	5878
430	4445	5868
431	4455	5857
432	4465	5847
433	4475	5837
434	4486	5826
435	4497	5817
436	4507	5806
437	4516	5794
438	4527	5785
439	4536	5773
440	4546	5762
441	4556	5752
442	4566	5741
443	4576	5731
444	4586	5720
445	4597	5711
446	4607	5700
447	4618	5690
448	4627	5679
449	4638	5669
450	4650	5661
451	4660	5650
452	4671	5640
453	4681	5630
454	4691	5619
455	4702	5610
456	4712	5599
457	4722	5589
458	4733	5579
459	4743	5568
460	4753	5558
461	4764	5547
462	4774	5537
463	4784	5527
464	4794	5516
465	4804	5506
466	4816	5496
467	4826	5486
468	4836	5476
469	4847	5466
470	4858	5457
471	4868	5446
472	4879	5436
473	4890	5427
474	4901	5417
475	4911	5406
476	4922	5396
477	4932	5386
478	4942	5375
479	4952	5365
480	4962	5354
481	4973	5344
482	4983	5334
483	4993	5323
484	5002	5311
485	5011	5300
486	5020	5288
487	5029	5276
488	5039	5265
489	5047	5253
490	5057	5242
491	5066	5231
492	5075	5219
493	5085	5209
494	5095	5197
495	5104	5187
496	5115	5176
497	5126	5167
498	5136	5157
499	5147	5147
500	5156	5136
501	5167	5126
502	5179	5117
503	5189	5107
504	5200	5097
505	5211	5087
506	5223	5078
507	5234	5069
508	5245	5059
509	5255	5049
510	5266	5039
511	5277	5030
512	5287	5019
513	5298	5009
514	5309	4999
515	5318	4989
516	5329	4979
517	5340	4969
518	5350	4958
519	5361	4948
520	5371	4938
521	5380	4927
522	5390	4916
523	5401	4906
524	5411	4896
525	5422	4886
526	5432	4876
527	5443	4865
528	5453	4855
529	5464	4845
530	5474	4835
531	5485	4825
532	5495	4814
533	5504	4803
534	5514	4793
535	5525	4783
536	5535	4772
537	5546	4762
538	5556	4752
