iter	Passed	Remaining
0	10	3087
1	19	2958
2	29	2897
3	38	2847
4	46	2765
5	55	2730
6	64	2679
7	72	2660
8	81	2637
9	90	2613
10	98	2590
11	107	2576
12	115	2554
13	123	2532
14	132	2518
15	140	2501
16	149	2486
17	157	2471
18	166	2460
19	174	2446
20	184	2447
21	193	2446
22	202	2437
23	210	2424
24	219	2417
25	228	2403
26	236	2391
27	245	2380
28	253	2366
29	261	2354
30	270	2343
31	278	2335
32	287	2325
33	295	2314
34	304	2305
35	312	2294
36	321	2285
37	329	2273
38	337	2261
39	346	2252
40	355	2243
41	363	2232
42	371	2222
43	380	2212
44	388	2203
45	397	2195
46	406	2189
47	416	2186
48	424	2176
49	433	2167
50	442	2158
51	450	2149
52	459	2139
53	467	2128
54	475	2118
55	484	2109
56	492	2099
57	500	2090
58	509	2080
59	517	2070
60	526	2060
61	534	2051
62	542	2042
63	551	2033
64	559	2023
65	567	2013
66	577	2007
67	585	1998
68	594	1988
69	602	1979
70	610	1970
71	619	1963
72	628	1955
73	637	1947
74	646	1940
75	655	1933
76	664	1924
77	672	1914
78	681	1905
79	689	1896
80	697	1887
81	706	1878
82	714	1869
83	723	1860
84	731	1850
85	740	1841
86	748	1832
87	756	1823
88	765	1815
89	773	1805
90	782	1796
91	790	1787
92	799	1779
93	807	1770
94	817	1764
95	827	1758
96	835	1749
97	844	1741
98	853	1732
99	862	1724
100	870	1714
101	878	1705
102	887	1696
103	895	1688
104	904	1679
105	912	1670
106	921	1661
107	929	1653
108	938	1644
109	946	1635
110	955	1626
111	964	1618
112	972	1609
113	981	1600
114	989	1591
115	997	1582
116	1006	1574
117	1014	1565
118	1023	1556
119	1032	1549
120	1041	1540
121	1049	1531
122	1058	1523
123	1066	1514
124	1075	1505
125	1083	1496
126	1092	1488
127	1101	1479
128	1110	1471
129	1119	1463
130	1127	1454
131	1136	1446
132	1144	1437
133	1153	1428
134	1161	1419
135	1170	1411
136	1178	1402
137	1186	1393
138	1195	1384
139	1203	1375
140	1212	1367
141	1221	1359
142	1230	1351
143	1239	1342
144	1249	1335
145	1258	1327
146	1267	1319
147	1277	1311
148	1286	1303
149	1296	1296
150	1305	1288
151	1314	1279
152	1323	1271
153	1332	1263
154	1340	1254
155	1349	1245
156	1357	1236
157	1366	1228
158	1374	1219
159	1383	1210
160	1392	1201
161	1399	1192
162	1408	1183
163	1416	1174
164	1425	1166
165	1433	1157
166	1442	1148
167	1451	1140
168	1460	1132
169	1469	1123
170	1477	1114
171	1486	1106
172	1495	1097
173	1504	1089
174	1512	1080
175	1520	1071
176	1529	1062
177	1537	1054
178	1546	1045
179	1554	1036
180	1563	1027
181	1571	1018
182	1579	1009
183	1588	1001
184	1596	992
185	1605	983
186	1613	975
187	1622	966
188	1629	957
189	1638	948
190	1648	940
191	1657	932
192	1666	923
193	1674	915
194	1683	906
195	1691	897
196	1700	889
197	1708	880
198	1717	871
199	1725	862
200	1733	854
201	1742	845
202	1751	836
203	1759	828
204	1768	819
205	1776	810
206	1784	801
207	1792	792
208	1800	783
209	1808	775
210	1816	766
211	1823	757
212	1831	748
213	1839	739
214	1847	730
215	1855	721
216	1863	712
217	1876	705
218	1892	699
219	1911	695
220	1920	686
221	1928	677
222	1939	669
223	1948	661
224	1956	652
225	1964	643
226	1972	634
227	1980	625
228	1988	616
229	1995	607
230	2003	598
231	2010	589
232	2018	580
233	2026	571
234	2033	562
235	2041	553
236	2049	544
237	2058	536
238	2066	527
239	2076	519
240	2084	510
241	2092	501
242	2101	492
243	2109	484
244	2118	475
245	2125	466
246	2134	457
247	2142	449
248	2150	440
249	2157	431
250	2165	422
251	2173	413
252	2181	405
253	2188	396
254	2197	387
255	2205	378
256	2212	370
257	2220	361
258	2228	352
259	2236	344
260	2244	335
261	2252	326
262	2260	317
263	2267	309
264	2276	300
265	2284	292
266	2293	283
267	2300	274
268	2308	266
269	2316	257
270	2324	248
271	2333	240
272	2340	231
273	2349	222
274	2358	214
275	2367	205
276	2375	197
277	2383	188
278	2391	180
279	2400	171
280	2408	162
281	2416	154
282	2425	145
283	2433	137
284	2441	128
285	2450	119
286	2458	111
287	2466	102
288	2474	94
289	2482	85
290	2491	77
291	2499	68
292	2508	59
293	2515	51
294	2523	42
295	2531	34
296	2539	25
297	2546	17
298	2554	8
299	2562	0
